,Party,2019,2014,%2019,%2014,municipality
16,Collectif Citoyen,25,-,"0,74%",-,Aubel
17,MG,-,4,-,"0,11%",Aubel
18,Debout les Belges,-,17,-,"0,48%",Aubel
19,VLC,-,6,-,"0,17%",Aubel
20,B.U.B.-BELG.UNIE,-,1,-,"0,03%",Aubel
21,WALLONIE D'ABORD,-,7,-,"0,20%",Aubel
22,PIRATE,-,7,-,"0,20%",Aubel
23,FW,-,1,-,"0,03%",Aubel
24,PP PARTIPENSIONNES,-,7,-,"0,20%",Aubel
25,R.W.F.,-,3,-,"0,08%",Aubel
26,CIM,-,1,-,"0,03%",Aubel
27,ISLAM,-,1,-,"0,03%",Aubel
0,ECOLO,766,475,"15,14%","9,41%",Plombieres
1,CDH,737,1.115,"14,57%","22,08%",Plombieres
2,MR,1.097,1.340,"21,68%","26,53%",Plombieres
3,PARTI POPULAIRE,266,277,"5,26%","5,49%",Plombieres
4,VLAAMS BELANG,40,-,"0,79%",-,Plombieres
5,DéFI,142,-,"2,81%",-,Plombieres
6,FDF,-,85,-,"1,68%",Plombieres
7,PTB,745,-,"14,73%",-,Plombieres
8,PTB-GO !,-,165,-,"3,27%",Plombieres
9,LISTES DESTEXHE,57,-,"1,13%",-,Plombieres
10,PS,875,1.227,"17,30%","24,30%",Plombieres
11,DierAnimal,63,-,"1,25%",-,Plombieres
12,LA DROITE,66,110,"1,30%","2,18%",Plombieres
13,LES BELGES D'ABORD,132,-,"2,61%",-,Plombieres
14,NATION,18,20,"0,36%","0,40%",Plombieres
15,WALLONIE INSOUMISE,23,-,"0,45%",-,Plombieres
16,Collectif Citoyen,32,-,"0,63%",-,Plombieres
17,MG,-,4,-,"0,08%",Plombieres
18,Debout les Belges,-,64,-,"1,27%",Plombieres
19,VLC,-,49,-,"0,97%",Plombieres
20,B.U.B.-BELG.UNIE,-,23,-,"0,46%",Plombieres
21,WALLONIE D'ABORD,-,41,-,"0,81%",Plombieres
22,PIRATE,-,26,-,"0,51%",Plombieres
23,FW,-,5,-,"0,10%",Plombieres
24,PP PARTIPENSIONNES,-,17,-,"0,34%",Plombieres
25,R.W.F.,-,1,-,"0,02%",Plombieres
26,CIM,-,2,-,"0,04%",Plombieres
27,ISLAM,-,4,-,"0,08%",Plombieres
0,ECOLO,1.130,663,"14,64%","8,65%",Aywaille
1,CDH,1.052,1.150,"13,63%","15,01%",Aywaille
2,MR,1.953,2.896,"25,31%","37,79%",Aywaille
3,PARTI POPULAIRE,301,304,"3,90%","3,97%",Aywaille
4,VLAAMS BELANG,37,-,"0,48%",-,Aywaille
5,DéFI,320,-,"4,15%",-,Aywaille
6,FDF,-,161,-,"2,10%",Aywaille
7,PTB,1.082,-,"14,02%",-,Aywaille
8,PTB-GO !,-,439,-,"5,73%",Aywaille
9,LISTES DESTEXHE,134,-,"1,74%",-,Aywaille
10,PS,1.260,1.609,"16,33%","21,00%",Aywaille
11,DierAnimal,88,-,"1,14%",-,Aywaille
12,LA DROITE,45,102,"0,58%","1,33%",Aywaille
13,LES BELGES D'ABORD,123,-,"1,59%",-,Aywaille
14,NATION,29,15,"0,38%","0,20%",Aywaille
15,WALLONIE INSOUMISE,40,-,"0,52%",-,Aywaille
16,Collectif Citoyen,122,-,"1,58%",-,Aywaille
17,MG,-,9,-,"0,12%",Aywaille
18,Debout les Belges,-,93,-,"1,21%",Aywaille
19,VLC,-,11,-,"0,14%",Aywaille
20,B.U.B.-BELG.UNIE,-,5,-,"0,07%",Aywaille
21,WALLONIE D'ABORD,-,77,-,"1,00%",Aywaille
22,PIRATE,-,44,-,"0,57%",Aywaille
23,FW,-,9,-,"0,12%",Aywaille
24,PP PARTIPENSIONNES,-,42,-,"0,55%",Aywaille
25,R.W.F.,-,20,-,"0,26%",Aywaille
26,CIM,-,9,-,"0,12%",Aywaille
27,ISLAM,-,5,-,"0,07%",Aywaille
0,ECOLO,475,287,"15,43%","9,24%",Comblain-au-Pont
1,CDH,299,346,"9,71%","11,14%",Comblain-au-Pont
2,MR,485,755,"15,75%","24,31%",Comblain-au-Pont
3,PARTI POPULAIRE,109,120,"3,54%","3,86%",Comblain-au-Pont
4,VLAAMS BELANG,17,-,"0,55%",-,Comblain-au-Pont
5,DéFI,132,-,"4,29%",-,Comblain-au-Pont
6,FDF,-,62,-,"2,00%",Comblain-au-Pont
7,PTB,606,-,"19,68%",-,Comblain-au-Pont
8,PTB-GO !,-,251,-,"8,08%",Comblain-au-Pont
9,LISTES DESTEXHE,31,-,"1,01%",-,Comblain-au-Pont
10,PS,740,1.084,"24,03%","34,90%",Comblain-au-Pont
11,DierAnimal,42,-,"1,36%",-,Comblain-au-Pont
12,LA DROITE,27,42,"0,88%","1,35%",Comblain-au-Pont
13,LES BELGES D'ABORD,41,-,"1,33%",-,Comblain-au-Pont
14,NATION,16,11,"0,52%","0,35%",Comblain-au-Pont
15,WALLONIE INSOUMISE,15,-,"0,49%",-,Comblain-au-Pont
16,Collectif Citoyen,44,-,"1,43%",-,Comblain-au-Pont
17,MG,-,1,-,"0,03%",Comblain-au-Pont
18,Debout les Belges,-,46,-,"1,48%",Comblain-au-Pont
19,VLC,-,6,-,"0,19%",Comblain-au-Pont
20,B.U.B.-BELG.UNIE,-,5,-,"0,16%",Comblain-au-Pont
21,WALLONIE D'ABORD,-,39,-,"1,26%",Comblain-au-Pont
22,PIRATE,-,13,-,"0,42%",Comblain-au-Pont
23,FW,-,5,-,"0,16%",Comblain-au-Pont
24,PP PARTIPENSIONNES,-,13,-,"0,42%",Comblain-au-Pont
25,R.W.F.,-,12,-,"0,39%",Comblain-au-Pont
26,CIM,-,6,-,"0,19%",Comblain-au-Pont
27,ISLAM,-,2,-,"0,06%",Comblain-au-Pont
0,ECOLO,1.815,979,"21,72%","11,53%",Esneux
1,CDH,577,1.106,"6,90%","13,03%",Esneux
2,MR,2.235,2.759,"26,74%","32,50%",Esneux
3,PARTI POPULAIRE,219,336,"2,62%","3,96%",Esneux
4,VLAAMS BELANG,34,-,"0,41%",-,Esneux
5,DéFI,485,-,"5,80%",-,Esneux
6,FDF,-,243,-,"2,86%",Esneux
7,PTB,1.032,-,"12,35%",-,Esneux
8,PTB-GO !,-,529,-,"6,23%",Esneux
9,LISTES DESTEXHE,147,-,"1,76%",-,Esneux
10,PS,1.404,2.083,"16,80%","24,53%",Esneux
11,DierAnimal,132,-,"1,58%",-,Esneux
12,LA DROITE,23,81,"0,28%","0,95%",Esneux
13,LES BELGES D'ABORD,107,-,"1,28%",-,Esneux
14,NATION,17,22,"0,20%","0,26%",Esneux
15,WALLONIE INSOUMISE,30,-,"0,36%",-,Esneux
16,Collectif Citoyen,101,-,"1,21%",-,Esneux
17,MG,-,6,-,"0,07%",Esneux
18,Debout les Belges,-,91,-,"1,07%",Esneux
19,VLC,-,7,-,"0,08%",Esneux
20,B.U.B.-BELG.UNIE,-,18,-,"0,21%",Esneux
21,WALLONIE D'ABORD,-,91,-,"1,07%",Esneux
22,PIRATE,-,50,-,"0,59%",Esneux
23,FW,-,4,-,"0,05%",Esneux
24,PP PARTIPENSIONNES,-,45,-,"0,53%",Esneux
25,R.W.F.,-,25,-,"0,29%",Esneux
26,CIM,-,11,-,"0,13%",Esneux
27,ISLAM,-,4,-,"0,05%",Esneux
0,ECOLO,1.545,835,"16,69%","9,24%",Sprimont
1,CDH,894,1.245,"9,66%","13,78%",Sprimont
2,MR,2.653,3.440,"28,66%","38,08%",Sprimont
3,PARTI POPULAIRE,303,355,"3,27%","3,93%",Sprimont
4,VLAAMS BELANG,30,-,"0,32%",-,Sprimont
5,DéFI,429,-,"4,63%",-,Sprimont
6,FDF,-,262,-,"2,90%",Sprimont
7,PTB,1.058,-,"11,43%",-,Sprimont
8,PTB-GO !,-,455,-,"5,04%",Sprimont
9,LISTES DESTEXHE,213,-,"2,30%",-,Sprimont
10,PS,1.424,1.970,"15,38%","21,81%",Sprimont
11,DierAnimal,101,-,"1,09%",-,Sprimont
12,LA DROITE,53,95,"0,57%","1,05%",Sprimont
13,LES BELGES D'ABORD,126,-,"1,36%",-,Sprimont
14,NATION,25,18,"0,27%","0,20%",Sprimont
15,WALLONIE INSOUMISE,39,-,"0,42%",-,Sprimont
16,Collectif Citoyen,365,-,"3,94%",-,Sprimont
17,MG,-,7,-,"0,08%",Sprimont
18,Debout les Belges,-,116,-,"1,28%",Sprimont
19,VLC,-,19,-,"0,21%",Sprimont
20,B.U.B.-BELG.UNIE,-,7,-,"0,08%",Sprimont
21,WALLONIE D'ABORD,-,72,-,"0,80%",Sprimont
22,PIRATE,-,54,-,"0,60%",Sprimont
23,FW,-,7,-,"0,08%",Sprimont
24,PP PARTIPENSIONNES,-,34,-,"0,38%",Sprimont
25,R.W.F.,-,24,-,"0,27%",Sprimont
26,CIM,-,12,-,"0,13%",Sprimont
27,ISLAM,-,7,-,"0,08%",Sprimont
0,ECOLO,2.765,1.977,"26,98%","19,79%",Eupen
1,CDH,2.171,2.321,"21,18%","23,24%",Eupen
2,MR,2.149,2.714,"20,97%","27,17%",Eupen
3,PARTI POPULAIRE,223,179,"2,18%","1,79%",Eupen
4,VLAAMS BELANG,198,-,"1,93%",-,Eupen
5,DéFI,63,-,"0,61%",-,Eupen
6,FDF,-,80,-,"0,80%",Eupen
7,PTB,464,-,"4,53%",-,Eupen
8,PTB-GO !,-,113,-,"1,13%",Eupen
9,LISTES DESTEXHE,98,-,"0,96%",-,Eupen
10,PS,1.531,1.717,"14,94%","17,19%",Eupen
11,DierAnimal,147,-,"1,43%",-,Eupen
12,LA DROITE,134,249,"1,31%","2,49%",Eupen
13,LES BELGES D'ABORD,187,-,"1,82%",-,Eupen
14,NATION,50,42,"0,49%","0,42%",Eupen
15,WALLONIE INSOUMISE,42,-,"0,41%",-,Eupen
16,Collectif Citoyen,28,-,"0,27%",-,Eupen
17,MG,-,17,-,"0,17%",Eupen
18,Debout les Belges,-,119,-,"1,19%",Eupen
19,VLC,-,26,-,"0,26%",Eupen
20,B.U.B.-BELG.UNIE,-,17,-,"0,17%",Eupen
21,WALLONIE D'ABORD,-,36,-,"0,36%",Eupen
22,PIRATE,-,168,-,"1,68%",Eupen
23,FW,-,5,-,"0,05%",Eupen
24,PP PARTIPENSIONNES,-,31,-,"0,31%",Eupen
25,R.W.F.,-,12,-,"0,12%",Eupen
26,CIM,-,2,-,"0,02%",Eupen
27,ISLAM,-,163,-,"1,63%",Eupen
0,ECOLO,772,430,"18,61%","10,69%",La Calamine
1,CDH,1.151,1.123,"27,75%","27,93%",La Calamine
2,MR,555,1.059,"13,38%","26,34%",La Calamine
3,PARTI POPULAIRE,154,67,"3,71%","1,67%",La Calamine
4,VLAAMS BELANG,97,-,"2,34%",-,La Calamine
5,DéFI,39,-,"0,94%",-,La Calamine
6,FDF,-,41,-,"1,02%",La Calamine
7,PTB,324,-,"7,81%",-,La Calamine
8,PTB-GO !,-,75,-,"1,87%",La Calamine
9,LISTES DESTEXHE,21,-,"0,51%",-,La Calamine
10,PS,690,792,"16,63%","19,70%",La Calamine
11,DierAnimal,59,-,"1,42%",-,La Calamine
12,LA DROITE,62,134,"1,49%","3,33%",La Calamine
13,LES BELGES D'ABORD,149,-,"3,59%",-,La Calamine
14,NATION,26,23,"0,63%","0,57%",La Calamine
15,WALLONIE INSOUMISE,32,-,"0,77%",-,La Calamine
16,Collectif Citoyen,17,-,"0,41%",-,La Calamine
17,MG,-,8,-,"0,20%",La Calamine
18,Debout les Belges,-,65,-,"1,62%",La Calamine
19,VLC,-,48,-,"1,19%",La Calamine
20,B.U.B.-BELG.UNIE,-,12,-,"0,30%",La Calamine
21,WALLONIE D'ABORD,-,24,-,"0,60%",La Calamine
22,PIRATE,-,43,-,"1,07%",La Calamine
23,FW,-,2,-,"0,05%",La Calamine
24,PP PARTIPENSIONNES,-,13,-,"0,32%",La Calamine
25,R.W.F.,-,4,-,"0,10%",La Calamine
26,CIM,-,3,-,"0,07%",La Calamine
27,ISLAM,-,55,-,"1,37%",La Calamine
0,ECOLO,583,374,"21,41%","14,42%",Lontzen
1,CDH,545,606,"20,01%","23,36%",Lontzen
2,MR,632,747,"23,21%","28,80%",Lontzen
3,PARTI POPULAIRE,88,75,"3,23%","2,89%",Lontzen
4,VLAAMS BELANG,55,-,"2,02%",-,Lontzen
5,DéFI,39,-,"1,43%",-,Lontzen
6,FDF,-,44,-,"1,70%",Lontzen
7,PTB,218,-,"8,01%",-,Lontzen
8,PTB-GO !,-,52,-,"2,00%",Lontzen
9,LISTES DESTEXHE,29,-,"1,07%",-,Lontzen
10,PS,353,469,"12,96%","18,08%",Lontzen
11,DierAnimal,41,-,"1,51%",-,Lontzen
12,LA DROITE,35,92,"1,29%","3,55%",Lontzen
13,LES BELGES D'ABORD,71,-,"2,61%",-,Lontzen
14,NATION,5,5,"0,18%","0,19%",Lontzen
15,WALLONIE INSOUMISE,6,-,"0,22%",-,Lontzen
16,Collectif Citoyen,23,-,"0,84%",-,Lontzen
17,MG,-,2,-,"0,08%",Lontzen
18,Debout les Belges,-,40,-,"1,54%",Lontzen
19,VLC,-,20,-,"0,77%",Lontzen
20,B.U.B.-BELG.UNIE,-,1,-,"0,04%",Lontzen
21,WALLONIE D'ABORD,-,15,-,"0,58%",Lontzen
22,PIRATE,-,24,-,"0,93%",Lontzen
23,FW,-,3,-,"0,12%",Lontzen
24,PP PARTIPENSIONNES,-,11,-,"0,42%",Lontzen
25,R.W.F.,-,1,-,"0,04%",Lontzen
26,CIM,-,1,-,"0,04%",Lontzen
27,ISLAM,-,12,-,"0,46%",Lontzen
0,ECOLO,911,536,"28,06%","16,96%",Raeren
1,CDH,771,878,"23,74%","27,78%",Raeren
2,MR,709,993,"21,84%","31,41%",Raeren
3,PARTI POPULAIRE,73,29,"2,25%","0,92%",Raeren
4,VLAAMS BELANG,93,-,"2,86%",-,Raeren
5,DéFI,15,-,"0,46%",-,Raeren
6,FDF,-,18,-,"0,57%",Raeren
7,PTB,103,-,"3,17%",-,Raeren
8,PTB-GO !,-,31,-,"0,98%",Raeren
9,LISTES DESTEXHE,12,-,"0,37%",-,Raeren
10,PS,386,404,"11,89%","12,78%",Raeren
11,DierAnimal,44,-,"1,36%",-,Raeren
12,LA DROITE,39,81,"1,20%","2,56%",Raeren
13,LES BELGES D'ABORD,55,-,"1,69%",-,Raeren
14,NATION,24,16,"0,74%","0,51%",Raeren
15,WALLONIE INSOUMISE,6,-,"0,18%",-,Raeren
16,Collectif Citoyen,6,-,"0,18%",-,Raeren
17,MG,-,3,-,"0,09%",Raeren
18,Debout les Belges,-,24,-,"0,76%",Raeren
19,VLC,-,10,-,"0,32%",Raeren
20,B.U.B.-BELG.UNIE,-,14,-,"0,44%",Raeren
21,WALLONIE D'ABORD,-,19,-,"0,60%",Raeren
22,PIRATE,-,56,-,"1,77%",Raeren
23,FW,-,4,-,"0,13%",Raeren
24,PP PARTIPENSIONNES,-,6,-,"0,19%",Raeren
25,R.W.F.,-,4,-,"0,13%",Raeren
26,CIM,-,3,-,"0,09%",Raeren
27,ISLAM,-,32,-,"1,01%",Raeren
0,ECOLO,688,438,"12,97%","8,23%",Bassenge
1,CDH,680,976,"12,82%","18,34%",Bassenge
2,MR,1.069,1.240,"20,15%","23,30%",Bassenge
3,PARTI POPULAIRE,228,462,"4,30%","8,68%",Bassenge
4,VLAAMS BELANG,61,-,"1,15%",-,Bassenge
5,DéFI,157,-,"2,96%",-,Bassenge
6,FDF,-,102,-,"1,92%",Bassenge
7,PTB,912,-,"17,19%",-,Bassenge
8,PTB-GO !,-,387,-,"7,27%",Bassenge
9,LISTES DESTEXHE,64,-,"1,21%",-,Bassenge
10,PS,1.158,1.384,"21,82%","26,00%",Bassenge
11,DierAnimal,60,-,"1,13%",-,Bassenge
12,LA DROITE,29,48,"0,55%","0,90%",Bassenge
13,LES BELGES D'ABORD,117,-,"2,21%",-,Bassenge
14,NATION,13,42,"0,25%","0,79%",Bassenge
15,WALLONIE INSOUMISE,25,-,"0,47%",-,Bassenge
16,Collectif Citoyen,45,-,"0,85%",-,Bassenge
17,MG,-,7,-,"0,13%",Bassenge
18,Debout les Belges,-,61,-,"1,15%",Bassenge
19,VLC,-,12,-,"0,23%",Bassenge
20,B.U.B.-BELG.UNIE,-,10,-,"0,19%",Bassenge
21,WALLONIE D'ABORD,-,57,-,"1,07%",Bassenge
22,PIRATE,-,40,-,"0,75%",Bassenge
23,FW,-,12,-,"0,23%",Bassenge
24,PP PARTIPENSIONNES,-,20,-,"0,38%",Bassenge
25,R.W.F.,-,12,-,"0,23%",Bassenge
26,CIM,-,1,-,"0,02%",Bassenge
27,ISLAM,-,12,-,"0,23%",Bassenge
0,ECOLO,608,370,"10,53%","6,46%",Juprelle
1,CDH,1.019,1.105,"17,65%","19,30%",Juprelle
2,MR,1.242,1.604,"21,51%","28,01%",Juprelle
3,PARTI POPULAIRE,191,311,"3,31%","5,43%",Juprelle
4,VLAAMS BELANG,41,-,"0,71%",-,Juprelle
5,DéFI,231,-,"4,00%",-,Juprelle
6,FDF,-,153,-,"2,67%",Juprelle
7,PTB,794,-,"13,75%",-,Juprelle
8,PTB-GO !,-,364,-,"6,36%",Juprelle
9,LISTES DESTEXHE,102,-,"1,77%",-,Juprelle
10,PS,1.254,1.410,"21,72%","24,62%",Juprelle
11,DierAnimal,76,-,"1,32%",-,Juprelle
12,LA DROITE,24,100,"0,42%","1,75%",Juprelle
13,LES BELGES D'ABORD,99,-,"1,71%",-,Juprelle
14,NATION,17,23,"0,29%","0,40%",Juprelle
15,WALLONIE INSOUMISE,29,-,"0,50%",-,Juprelle
16,Collectif Citoyen,47,-,"0,81%",-,Juprelle
17,MG,-,6,-,"0,10%",Juprelle
18,Debout les Belges,-,91,-,"1,59%",Juprelle
19,VLC,-,8,-,"0,14%",Juprelle
20,B.U.B.-BELG.UNIE,-,8,-,"0,14%",Juprelle
21,WALLONIE D'ABORD,-,55,-,"0,96%",Juprelle
22,PIRATE,-,37,-,"0,65%",Juprelle
23,FW,-,7,-,"0,12%",Juprelle
24,PP PARTIPENSIONNES,-,26,-,"0,45%",Juprelle
25,R.W.F.,-,15,-,"0,26%",Juprelle
26,CIM,-,2,-,"0,03%",Juprelle
27,ISLAM,-,31,-,"0,54%",Juprelle
0,ECOLO,1.474,872,"10,09%","5,84%",Oupeye
1,CDH,1.177,1.920,"8,06%","12,86%",Oupeye
2,MR,2.364,3.254,"16,19%","21,80%",Oupeye
3,PARTI POPULAIRE,708,965,"4,85%","6,46%",Oupeye
4,VLAAMS BELANG,80,-,"0,55%",-,Oupeye
5,DéFI,524,-,"3,59%",-,Oupeye
6,FDF,-,286,-,"1,92%",Oupeye
7,PTB,3.120,-,"21,36%",-,Oupeye
8,PTB-GO !,-,1.540,-,"10,32%",Oupeye
9,LISTES DESTEXHE,239,-,"1,64%",-,Oupeye
10,PS,4.156,4.946,"28,46%","33,13%",Oupeye
11,DierAnimal,186,-,"1,27%",-,Oupeye
12,LA DROITE,85,205,"0,58%","1,37%",Oupeye
13,LES BELGES D'ABORD,237,-,"1,62%",-,Oupeye
14,NATION,57,193,"0,39%","1,29%",Oupeye
15,WALLONIE INSOUMISE,67,-,"0,46%",-,Oupeye
16,Collectif Citoyen,131,-,"0,90%",-,Oupeye
17,MG,-,13,-,"0,09%",Oupeye
18,Debout les Belges,-,221,-,"1,48%",Oupeye
19,VLC,-,35,-,"0,23%",Oupeye
20,B.U.B.-BELG.UNIE,-,24,-,"0,16%",Oupeye
21,WALLONIE D'ABORD,-,160,-,"1,07%",Oupeye
22,PIRATE,-,107,-,"0,72%",Oupeye
23,FW,-,11,-,"0,07%",Oupeye
24,PP PARTIPENSIONNES,-,71,-,"0,48%",Oupeye
25,R.W.F.,-,30,-,"0,20%",Oupeye
26,CIM,-,4,-,"0,03%",Oupeye
27,ISLAM,-,70,-,"0,47%",Oupeye
0,ECOLO,902,565,"12,43%","7,47%",Dison
1,CDH,381,1.021,"5,25%","13,50%",Dison
2,MR,780,1.088,"10,75%","14,38%",Dison
3,PARTI POPULAIRE,524,810,"7,22%","10,71%",Dison
4,VLAAMS BELANG,44,-,"0,61%",-,Dison
5,DéFI,208,-,"2,87%",-,Dison
6,FDF,-,146,-,"1,93%",Dison
7,PTB,1.460,-,"20,12%",-,Dison
8,PTB-GO !,-,428,-,"5,66%",Dison
9,LISTES DESTEXHE,80,-,"1,10%",-,Dison
10,PS,2.372,2.804,"32,69%","37,07%",Dison
11,DierAnimal,93,-,"1,28%",-,Dison
12,LA DROITE,58,130,"0,80%","1,72%",Dison
13,LES BELGES D'ABORD,191,-,"2,63%",-,Dison
14,NATION,25,24,"0,34%","0,32%",Dison
15,WALLONIE INSOUMISE,53,-,"0,73%",-,Dison
16,Collectif Citoyen,84,-,"1,16%",-,Dison
17,MG,-,8,-,"0,11%",Dison
18,Debout les Belges,-,143,-,"1,89%",Dison
19,VLC,-,67,-,"0,89%",Dison
20,B.U.B.-BELG.UNIE,-,16,-,"0,21%",Dison
21,WALLONIE D'ABORD,-,96,-,"1,27%",Dison
22,PIRATE,-,32,-,"0,42%",Dison
23,FW,-,4,-,"0,05%",Dison
24,PP PARTIPENSIONNES,-,60,-,"0,79%",Dison
25,R.W.F.,-,17,-,"0,22%",Dison
26,CIM,-,3,-,"0,04%",Dison
27,ISLAM,-,102,-,"1,35%",Dison
0,ECOLO,541,340,"16,66%","10,67%",Ferrieres
1,CDH,392,507,"12,07%","15,91%",Ferrieres
2,MR,742,1.033,"22,85%","32,41%",Ferrieres
3,PARTI POPULAIRE,119,129,"3,66%","4,05%",Ferrieres
4,VLAAMS BELANG,19,-,"0,59%",-,Ferrieres
5,DéFI,129,-,"3,97%",-,Ferrieres
6,FDF,-,75,-,"2,35%",Ferrieres
7,PTB,433,-,"13,34%",-,Ferrieres
8,PTB-GO !,-,160,-,"5,02%",Ferrieres
9,LISTES DESTEXHE,44,-,"1,36%",-,Ferrieres
10,PS,619,766,"19,06%","24,04%",Ferrieres
11,DierAnimal,61,-,"1,88%",-,Ferrieres
12,LA DROITE,10,39,"0,31%","1,22%",Ferrieres
13,LES BELGES D'ABORD,45,-,"1,39%",-,Ferrieres
14,NATION,2,2,"0,06%","0,06%",Ferrieres
15,WALLONIE INSOUMISE,21,-,"0,65%",-,Ferrieres
16,Collectif Citoyen,70,-,"2,16%",-,Ferrieres
17,MG,-,3,-,"0,09%",Ferrieres
18,Debout les Belges,-,20,-,"0,63%",Ferrieres
19,VLC,-,3,-,"0,09%",Ferrieres
20,B.U.B.-BELG.UNIE,-,6,-,"0,19%",Ferrieres
21,WALLONIE D'ABORD,-,33,-,"1,04%",Ferrieres
22,PIRATE,-,16,-,"0,50%",Ferrieres
23,FW,-,2,-,"0,06%",Ferrieres
24,PP PARTIPENSIONNES,-,30,-,"0,94%",Ferrieres
25,R.W.F.,-,17,-,"0,53%",Ferrieres
26,CIM,-,5,-,"0,16%",Ferrieres
27,ISLAM,-,1,-,"0,03%",Ferrieres
0,ECOLO,724,424,"10,70%","6,01%",Beyne-Heusay
1,CDH,399,739,"5,90%","10,47%",Beyne-Heusay
2,MR,916,1.253,"13,54%","17,75%",Beyne-Heusay
3,PARTI POPULAIRE,271,467,"4,01%","6,61%",Beyne-Heusay
4,VLAAMS BELANG,36,-,"0,53%",-,Beyne-Heusay
5,DéFI,247,-,"3,65%",-,Beyne-Heusay
6,FDF,-,189,-,"2,68%",Beyne-Heusay
7,PTB,1.424,-,"21,05%",-,Beyne-Heusay
8,PTB-GO !,-,692,-,"9,80%",Beyne-Heusay
9,LISTES DESTEXHE,95,-,"1,40%",-,Beyne-Heusay
10,PS,2.193,2.675,"32,42%","37,89%",Beyne-Heusay
11,DierAnimal,119,-,"1,76%",-,Beyne-Heusay
12,LA DROITE,42,112,"0,62%","1,59%",Beyne-Heusay
13,LES BELGES D'ABORD,158,-,"2,34%",-,Beyne-Heusay
14,NATION,32,38,"0,47%","0,54%",Beyne-Heusay
15,WALLONIE INSOUMISE,41,-,"0,61%",-,Beyne-Heusay
16,Collectif Citoyen,68,-,"1,01%",-,Beyne-Heusay
17,MG,-,10,-,"0,14%",Beyne-Heusay
18,Debout les Belges,-,143,-,"2,03%",Beyne-Heusay
19,VLC,-,17,-,"0,24%",Beyne-Heusay
20,B.U.B.-BELG.UNIE,-,11,-,"0,16%",Beyne-Heusay
21,WALLONIE D'ABORD,-,97,-,"1,37%",Beyne-Heusay
22,PIRATE,-,37,-,"0,52%",Beyne-Heusay
23,FW,-,15,-,"0,21%",Beyne-Heusay
24,PP PARTIPENSIONNES,-,60,-,"0,85%",Beyne-Heusay
25,R.W.F.,-,15,-,"0,21%",Beyne-Heusay
26,CIM,-,2,-,"0,03%",Beyne-Heusay
27,ISLAM,-,64,-,"0,91%",Beyne-Heusay
0,ECOLO,1.012,536,"11,99%","6,29%",Blegny
1,CDH,891,1.246,"10,56%","14,62%",Blegny
2,MR,1.718,2.156,"20,35%","25,31%",Blegny
3,PARTI POPULAIRE,352,442,"4,17%","5,19%",Blegny
4,VLAAMS BELANG,34,-,"0,40%",-,Blegny
5,DéFI,286,-,"3,39%",-,Blegny
6,FDF,-,206,-,"2,42%",Blegny
7,PTB,1.059,-,"12,55%",-,Blegny
8,PTB-GO !,-,646,-,"7,58%",Blegny
9,LISTES DESTEXHE,138,-,"1,63%",-,Blegny
10,PS,2.484,2.768,"29,43%","32,49%",Blegny
11,DierAnimal,147,-,"1,74%",-,Blegny
12,LA DROITE,49,116,"0,58%","1,36%",Blegny
13,LES BELGES D'ABORD,127,-,"1,50%",-,Blegny
14,NATION,24,22,"0,28%","0,26%",Blegny
15,WALLONIE INSOUMISE,39,-,"0,46%",-,Blegny
16,Collectif Citoyen,81,-,"0,96%",-,Blegny
17,MG,-,13,-,"0,15%",Blegny
18,Debout les Belges,-,100,-,"1,17%",Blegny
19,VLC,-,15,-,"0,18%",Blegny
20,B.U.B.-BELG.UNIE,-,10,-,"0,12%",Blegny
21,WALLONIE D'ABORD,-,99,-,"1,16%",Blegny
22,PIRATE,-,38,-,"0,45%",Blegny
23,FW,-,12,-,"0,14%",Blegny
24,PP PARTIPENSIONNES,-,36,-,"0,42%",Blegny
25,R.W.F.,-,27,-,"0,32%",Blegny
26,CIM,-,2,-,"0,02%",Blegny
27,ISLAM,-,30,-,"0,35%",Blegny
0,ECOLO,2.054,1.112,"15,24%","8,01%",Chaudfontaine
1,CDH,1.025,1.540,"7,61%","11,09%",Chaudfontaine
2,MR,5.111,6.548,"37,93%","47,16%",Chaudfontaine
3,PARTI POPULAIRE,322,490,"2,39%","3,53%",Chaudfontaine
4,VLAAMS BELANG,58,-,"0,43%",-,Chaudfontaine
5,DéFI,818,-,"6,07%",-,Chaudfontaine
6,FDF,-,346,-,"2,49%",Chaudfontaine
7,PTB,1.336,-,"9,91%",-,Chaudfontaine
8,PTB-GO !,-,683,-,"4,92%",Chaudfontaine
9,LISTES DESTEXHE,307,-,"2,28%",-,Chaudfontaine
10,PS,1.927,2.486,"14,30%","17,90%",Chaudfontaine
11,DierAnimal,148,-,"1,10%",-,Chaudfontaine
12,LA DROITE,48,96,"0,36%","0,69%",Chaudfontaine
13,LES BELGES D'ABORD,140,-,"1,04%",-,Chaudfontaine
14,NATION,38,38,"0,28%","0,27%",Chaudfontaine
15,WALLONIE INSOUMISE,55,-,"0,41%",-,Chaudfontaine
16,Collectif Citoyen,89,-,"0,66%",-,Chaudfontaine
17,MG,-,10,-,"0,07%",Chaudfontaine
18,Debout les Belges,-,116,-,"0,84%",Chaudfontaine
19,VLC,-,46,-,"0,33%",Chaudfontaine
20,B.U.B.-BELG.UNIE,-,21,-,"0,15%",Chaudfontaine
21,WALLONIE D'ABORD,-,105,-,"0,76%",Chaudfontaine
